signal,entry_price,exit_price,sl_distance,result,sl_moved_to_be,entry_time,exit_time
LONG,110027.7,109861.63305966317,0.001509319383544432,LOSS,False,2025-09-02 11:10:00,2025-09-02 11:21:00
LONG,109852.9,109680.52790892129,0.0015691173476413275,LOSS,False,2025-09-02 11:25:00,2025-09-02 11:54:00
LONG,109865.9,109700.83464500731,0.0015024257298459518,LOSS,False,2025-09-02 11:40:00,2025-09-02 11:54:00
LONG,109698.6,109514.38779704121,0.0016792575562385571,LOSS,False,2025-09-02 11:55:00,2025-09-02 11:58:00
LONG,109364.5,109141.63532802461,0.0020378154883475687,LOSS,False,2025-09-02 12:10:00,2025-09-02 12:41:00
LONG,110650.2,110215.62275740017,0.003927487185742307,LOSS,False,2025-09-02 15:50:00,2025-09-02 18:45:00
LONG,110415.6,110870.80847479329,0.0027484550781670444,WIN,False,2025-09-02 18:15:00,2025-09-02 20:07:00
LONG,111113.1,111448.16419232769,0.002010349168716033,WIN,False,2025-09-03 12:45:00,2025-09-03 13:34:00
LONG,111682.2,112103.58005782844,0.002515351941063975,WIN,False,2025-09-03 16:40:00,2025-09-03 17:10:00
LONG,111821.9,112199.54876130825,0.0022514895639599605,WIN,False,2025-09-03 18:35:00,2025-09-03 21:08:00
SHORT,109725.6,109935.31260844883,0.0019112459485191057,LOSS,False,2025-09-04 17:20:00,2025-09-04 18:03:00
SHORT,110000.4,109658.06500955652,0.0020747499732939314,WIN,False,2025-09-04 18:00:00,2025-09-04 18:31:00
SHORT,110303.1,110536.08647052138,0.0021122386453451274,LOSS,False,2025-09-04 20:20:00,2025-09-04 22:05:00
SHORT,110290.2,110504.48135048668,0.0019428865890775404,LOSS,False,2025-09-04 20:35:00,2025-09-04 22:05:00
LONG,112100.0,112350.51482347453,0.0014898294586650255,WIN,False,2025-09-05 11:15:00,2025-09-05 12:01:00
SHORT,111012.0,111269.32721895218,0.002318012637842666,LOSS,False,2025-09-05 18:25:00,2025-09-05 19:21:00
SHORT,110810.7,110708.47049707842,0.0006150399009095113,WIN,False,2025-09-06 12:15:00,2025-09-06 12:34:00
SHORT,110121.0,110196.51195761064,0.0006857180520576018,LOSS,False,2025-09-06 20:55:00,2025-09-06 23:23:00
LONG,111031.3,111171.84685054289,0.0008438872674815897,WIN,False,2025-09-07 12:15:00,2025-09-07 12:39:00
LONG,111017.2,111123.77132787838,0.0006399688689582548,WIN,False,2025-09-07 13:20:00,2025-09-07 13:33:00
LONG,111027.7,110932.91711495431,0.0008536868281130177,LOSS,False,2025-09-07 17:10:00,2025-09-07 17:19:00
LONG,110928.9,110818.86525202428,0.000991939413225205,LOSS,False,2025-09-07 17:25:00,2025-09-07 18:41:00
LONG,110856.9,111001.15570751633,0.000867519041914049,WIN,False,2025-09-07 18:35:00,2025-09-07 18:58:00
LONG,112388.2,112167.79249085645,0.001961126783270436,LOSS,False,2025-09-08 16:05:00,2025-09-08 17:51:00
LONG,112049.9,111897.7000772987,0.0013583226999872456,LOSS,False,2025-09-08 19:35:00,2025-09-08 20:40:00
LONG,111947.1,112149.49306375635,0.0012052899018456327,WIN,False,2025-09-08 20:15:00,2025-09-08 21:38:00
LONG,111906.8,112099.76995665915,0.0011495873152727635,WIN,False,2025-09-08 20:30:00,2025-09-08 21:14:00
LONG,112658.7,112868.2609351965,0.0012400932207721853,WIN,False,2025-09-09 10:25:00,2025-09-09 10:40:00
LONG,112605.8,112465.94542639407,0.0012419837486695477,LOSS,False,2025-09-09 11:15:00,2025-09-09 11:58:00
LONG,112551.0,112419.6691892243,0.0011668560099483219,LOSS,False,2025-09-09 11:35:00,2025-09-09 11:59:00
LONG,112521.2,112397.98333043943,0.0010950529283421163,LOSS,False,2025-09-09 11:50:00,2025-09-09 11:59:00
LONG,112321.4,112015.91363578568,0.002719752106137537,LOSS,False,2025-09-09 14:00:00,2025-09-09 14:07:00
SHORT,111225.1,111425.31358818794,0.001800075596137269,LOSS,False,2025-09-09 18:20:00,2025-09-09 20:55:00
SHORT,111257.2,111045.40237748958,0.0012691170998995827,WIN,False,2025-09-09 19:35:00,2025-09-09 20:18:00
SHORT,111302.7,111114.58777272033,0.001126730542204072,WIN,False,2025-09-09 19:50:00,2025-09-09 20:17:00
SHORT,111410.4,111172.59669311096,0.00142298688386386,WIN,False,2025-09-09 20:45:00,2025-09-09 20:46:00
LONG,113630.9,113970.24525151306,0.001990921199034527,WIN,False,2025-09-10 16:15:00,2025-09-10 17:17:00
LONG,113593.5,113913.14856690021,0.0018759792118399673,WIN,False,2025-09-10 16:30:00,2025-09-10 17:11:00
LONG,113436.9,113766.45190886167,0.0019367707736586645,WIN,False,2025-09-10 17:25:00,2025-09-10 18:02:00
LONG,113357.1,113144.42993738833,0.0018761071217566448,LOSS,False,2025-09-10 18:25:00,2025-09-10 19:27:00
LONG,113225.3,113521.56876276042,0.001744420270972509,WIN,False,2025-09-10 19:20:00,2025-09-10 19:59:00
LONG,113865.3,113745.12568732596,0.0010554076849931286,LOSS,False,2025-09-11 09:10:00,2025-09-11 09:46:00
LONG,113856.7,113739.30093473759,0.0010311124884385477,LOSS,False,2025-09-11 09:35:00,2025-09-11 09:46:00
LONG,113805.9,113981.32915254091,0.0010276511882125884,WIN,False,2025-09-11 09:50:00,2025-09-11 10:33:00
LONG,113435.2,113899.54336275338,0.002728978675363403,WIN,False,2025-09-11 13:10:00,2025-09-11 13:31:00
LONG,114106.4,114405.83259275215,0.0017494349878835668,WIN,False,2025-09-11 18:15:00,2025-09-11 19:58:00
LONG,114105.3,114384.64372495499,0.001632081506906257,WIN,False,2025-09-11 18:30:00,2025-09-11 19:37:00
LONG,115011.1,114912.72200772857,0.0008553782397648494,LOSS,False,2025-09-12 08:00:00,2025-09-12 08:11:00
LONG,114877.8,115068.97642913529,0.001109448063567094,WIN,False,2025-09-12 09:20:00,2025-09-12 11:27:00
LONG,114833.8,115025.45847842937,0.0011126716955540382,WIN,False,2025-09-12 09:35:00,2025-09-12 09:59:00
LONG,114797.9,114976.98565326215,0.0010400053965108605,WIN,False,2025-09-12 12:00:00,2025-09-12 12:27:00
LONG,116005.2,115789.33043030834,0.0018608611483937592,LOSS,False,2025-09-12 20:20:00,2025-09-12 21:45:00
LONG,115744.2,115681.60069362595,0.0005408418423908316,LOSS,False,2025-09-13 13:45:00,2025-09-13 13:51:00
LONG,115639.9,115809.85768168082,0.0009798099195913576,WIN,False,2025-09-13 14:10:00,2025-09-13 14:16:00
LONG,115632.4,115511.12976692291,0.0010487565170063167,LOSS,False,2025-09-13 15:35:00,2025-09-13 16:21:00
LONG,115466.1,115323.79874227877,0.0012324072409239132,LOSS,False,2025-09-13 16:20:00,2025-09-13 16:43:00
LONG,115805.3,115723.75434216266,0.0007041617079472757,LOSS,False,2025-09-14 11:25:00,2025-09-14 11:32:00
LONG,115701.2,115610.23046273008,0.0007862454086035002,LOSS,False,2025-09-14 11:40:00,2025-09-14 12:52:00
LONG,115692.8,115608.39944091493,0.0007295230047598357,LOSS,False,2025-09-14 12:35:00,2025-09-14 12:52:00
SHORT,115016.0,114746.96365501691,0.0015594140234581459,WIN,False,2025-09-15 11:10:00,2025-09-15 12:29:00
SHORT,115130.4,114849.10212622937,0.00162886532008122,WIN,False,2025-09-15 11:35:00,2025-09-15 12:07:00
SHORT,115075.9,115287.79459293532,0.0018413463890816573,LOSS,False,2025-09-15 17:55:00,2025-09-15 18:57:00
SHORT,115063.0,115264.42842444486,0.0017505924966744729,LOSS,False,2025-09-15 18:45:00,2025-09-15 18:56:00
LONG,115550.2,115397.30416629631,0.0013231983475900002,LOSS,False,2025-09-16 08:30:00,2025-09-16 09:54:00
LONG,115413.1,115290.05556840204,0.0010661218838933359,LOSS,False,2025-09-16 09:50:00,2025-09-16 11:03:00
LONG,115397.5,115268.91464423442,0.001114281988479615,LOSS,False,2025-09-16 10:05:00,2025-09-16 11:03:00
LONG,115378.4,115258.59173178933,0.0010383942593298174,LOSS,False,2025-09-16 10:40:00,2025-09-16 11:03:00
SHORT,115315.0,115512.66529985622,0.0017141334592742756,LOSS,False,2025-09-16 15:40:00,2025-09-16 15:55:00
SHORT,115827.9,116001.69500086873,0.001500458877944952,LOSS,False,2025-09-17 17:35:00,2025-09-17 17:40:00
SHORT,115963.2,115632.20553011558,0.001902870737638751,WIN,False,2025-09-17 17:50:00,2025-09-17 17:59:00
LONG,117049.9,117224.26758502547,0.0009931239299107622,WIN,False,2025-09-18 10:40:00,2025-09-18 11:00:00
LONG,117008.4,117187.92196491855,0.001022843744087614,WIN,False,2025-09-18 11:45:00,2025-09-18 12:14:00
LONG,116976.1,117152.69541979814,0.0010064472987680172,WIN,False,2025-09-18 12:00:00,2025-09-18 12:13:00
LONG,117401.8,117240.86876964227,0.001370773108740501,LOSS,False,2025-09-18 19:25:00,2025-09-18 19:35:00
LONG,117237.4,117501.3713355116,0.0015010644243311614,WIN,False,2025-09-18 19:40:00,2025-09-18 20:33:00
SHORT,116373.7,116125.6938043002,0.0014207459572039348,WIN,False,2025-09-19 13:45:00,2025-09-19 14:43:00
SHORT,115861.9,115770.70368322886,0.000524741476827946,WIN,False,2025-09-20 12:00:00,2025-09-20 12:27:00
SHORT,116032.0,115944.34319453697,0.0005036358100238479,WIN,False,2025-09-20 15:15:00,2025-09-20 15:41:00
SHORT,115626.2,115499.70007805216,0.0007293613497508045,WIN,False,2025-09-21 09:55:00,2025-09-21 10:45:00
SHORT,115700.0,115605.29085590628,0.0005457167622801393,WIN,False,2025-09-21 12:15:00,2025-09-21 13:37:00
SHORT,115577.5,115424.98937381987,0.0008797019384114402,WIN,False,2025-09-21 17:50:00,2025-09-21 19:05:00
SHORT,115585.0,115448.59329602124,0.0007867612808972501,WIN,False,2025-09-21 18:05:00,2025-09-21 19:03:00
SHORT,112799.3,112480.15438214112,0.0018862151204773552,WIN,False,2025-09-22 10:50:00,2025-09-22 12:38:00
SHORT,112829.1,112537.53381106562,0.0017227599909030362,WIN,False,2025-09-22 11:05:00,2025-09-22 12:02:00
SHORT,112884.1,112606.1053782475,0.0016417701681193536,WIN,False,2025-09-22 11:20:00,2025-09-22 12:02:00
SHORT,112891.9,112618.0257464135,0.0016173245000246036,WIN,False,2025-09-22 13:10:00,2025-09-22 13:38:00
SHORT,113157.1,112766.30174139002,0.0023023935078457145,WIN,False,2025-09-22 14:00:00,2025-09-22 14:55:00
SHORT,113337.3,112932.39253555238,0.0023817252540138385,WIN,False,2025-09-22 14:25:00,2025-09-22 14:36:00
SHORT,112658.2,112375.26251347328,0.0016743121318982398,WIN,False,2025-09-22 18:20:00,2025-09-22 18:56:00
SHORT,112766.4,112497.03290528453,0.0015924784611696368,WIN,False,2025-09-22 18:35:00,2025-09-22 18:50:00
SHORT,112727.1,112397.65716653352,0.0019483208176589433,WIN,False,2025-09-22 20:50:00,2025-09-23 00:51:00
SHORT,113132.8,112849.1875727335,0.0016712655526161168,WIN,False,2025-09-23 08:15:00,2025-09-23 09:49:00
SHORT,113189.1,112963.05678755372,0.0013313603073457263,WIN,False,2025-09-23 09:05:00,2025-09-23 09:28:00
SHORT,113144.5,112841.72170189868,0.0017840213066848698,WIN,False,2025-09-23 14:05:00,2025-09-23 14:20:00
SHORT,112750.2,112899.00423714808,0.001319769163585291,LOSS,False,2025-09-24 09:35:00,2025-09-24 10:59:00
LONG,113442.6,113285.02034371263,0.0013890695055241416,LOSS,False,2025-09-24 19:25:00,2025-09-24 19:35:00
SHORT,111933.3,111674.96481673233,0.0015386257307858611,WIN,False,2025-09-25 08:10:00,2025-09-25 08:46:00
SHORT,111980.3,111729.49071696828,0.0014931750378219689,WIN,False,2025-09-25 08:25:00,2025-09-25 08:43:00
SHORT,112032.3,112213.56996723004,0.001618015226234266,LOSS,False,2025-09-25 09:25:00,2025-09-25 09:27:00
SHORT,109457.3,109009.91408379293,0.0027248733293382408,WIN,False,2025-09-26 12:40:00,2025-09-26 13:30:00
SHORT,109522.0,109040.43578864484,0.0029313088472645446,WIN,False,2025-09-26 13:35:00,2025-09-26 14:24:00
SHORT,109635.5,109142.80264309501,0.002995972149562201,WIN,False,2025-09-26 13:50:00,2025-09-26 14:15:00
SHORT,109488.2,109769.66994112915,0.002570778779166735,LOSS,False,2025-09-26 16:15:00,2025-09-26 17:26:00
SHORT,109521.7,109754.62262990934,0.00212672584436994,LOSS,False,2025-09-26 17:10:00,2025-09-26 17:26:00
SHORT,109868.1,110116.27014136693,0.0022588007016314305,LOSS,False,2025-09-26 17:25:00,2025-09-26 18:17:00
SHORT,109893.6,110138.91851333203,0.0022323275725978117,LOSS,False,2025-09-26 17:40:00,2025-09-26 18:17:00
SHORT,110120.0,109756.90476184299,0.0021981791872926985,WIN,False,2025-09-26 18:15:00,2025-09-26 18:45:00
